decile,sample_count,positive_count,positive_rate,avg_score,lift,cumulative_positive_count,cumulative_capture_rate
1,750,228,0.304,0.553731,1.085198,228,0.10852
2,750,238,0.317333,0.530181,1.132794,466,0.221799
3,750,211,0.281333,0.516896,1.004284,677,0.322228
4,750,222,0.296,0.505654,1.05664,899,0.427891
5,750,231,0.308,0.494136,1.099476,1130,0.537839
6,750,234,0.312,0.480293,1.113755,1364,0.649215
7,750,216,0.288,0.460329,1.028082,1580,0.752023
8,750,182,0.242667,0.4291,0.866254,1762,0.838648
9,750,171,0.228,0.397366,0.813898,1933,0.920038
10,750,168,0.224,0.359383,0.799619,2101,1.0
